system_size,U,sparsity,overlap
"$3\times 2,\;(3,2)$",7.25,0.7128372192382812,0.95
"$3\times 2,\;(3,2)$",7.5,0.7096099853515625,0.95
"$3\times 2,\;(3,2)$",7.75,0.7146682739257812,0.95
"$3\times 2,\;(3,2)$",8.0,0.7112579345703125,0.95
"$3\times 2,\;(3,2)$",8.25,0.7099761962890625,0.95
"$3\times 2,\;(3,2)$",8.5,0.7049407958984375,0.95
"$3\times 2,\;(3,2)$",8.75,0.70159912109375,0.95
"$3\times 2,\;(3,2)$",9.0,0.7078475952148438,0.95
"$3\times 2,\;(3,2)$",9.25,0.7044830322265625,0.95
"$3\times 2,\;(3,2)$",9.5,0.7011184692382812,0.95
"$3\times 2,\;(3,2)$",9.75,0.6952362060546875,0.95
"$3\times 2,\;(3,2)$",10.0,0.7045059204101562,0.95
"$3\times 2,\;(3,2)$",10.25,0.70306396484375,0.95
"$3\times 2,\;(3,2)$",10.5,0.69940185546875,0.95
"$3\times 2,\;(3,2)$",10.75,0.6945037841796875,0.95
"$3\times 2,\;(3,2)$",11.0,0.6939773559570312,0.95
"$3\times 2,\;(3,2)$",11.25,0.6934967041015625,0.95
"$3\times 2,\;(3,2)$",11.5,0.68548583984375,0.95
"$3\times 2,\;(3,2)$",11.75,0.687957763671875,0.95
"$3\times 2,\;(3,2)$",12.0,0.683837890625,0.95
"$3\times 2,\;(3,2)$",12.25,0.68255615234375,0.95
"$3\times 2,\;(3,2)$",12.5,0.6789398193359375,0.95
"$3\times 2,\;(3,2)$",12.75,0.6772232055664062,0.95
"$3\times 2,\;(3,2)$",13.0,0.6715011596679688,0.95
"$3\times 2,\;(3,2)$",13.25,0.6689376831054688,0.95
"$3\times 2,\;(3,2)$",13.5,0.666534423828125,0.95
"$3\times 2,\;(3,2)$",13.75,0.6687774658203125,0.95
"$3\times 2,\;(3,2)$",14.0,0.6659393310546875,0.95
"$3\times 2,\;(3,2)$",14.25,0.6637420654296875,0.95
"$3\times 2,\;(3,2)$",14.5,0.6653900146484375,0.95
"$3\times 2,\;(3,2)$",14.75,0.663421630859375,0.95
"$3\times 2,\;(3,2)$",15.0,0.65582275390625,0.95
"$3\times 2,\;(3,3)$",0.5,NaN,0.95
"$3\times 2,\;(3,3)$",0.75,NaN,0.95
"$3\times 2,\;(3,3)$",1.0,NaN,0.95
"$3\times 2,\;(3,3)$",1.25,NaN,0.95
"$3\times 2,\;(3,3)$",1.5,NaN,0.95
"$3\times 2,\;(3,3)$",1.75,1.2177734375,0.95
"$3\times 2,\;(3,3)$",2.0,0.90557861328125,0.95
"$3\times 2,\;(3,3)$",2.25,0.82574462890625,0.95
"$3\times 2,\;(3,3)$",2.5,0.7457275390625,0.95
"$3\times 2,\;(3,3)$",2.75,0.71844482421875,0.95
"$3\times 2,\;(3,3)$",3.0,0.6732177734375,0.95
"$3\times 2,\;(3,3)$",3.25,0.64794921875,0.95
"$3\times 2,\;(3,3)$",3.5,0.63623046875,0.95
"$3\times 2,\;(3,3)$",3.75,0.613067626953125,0.95
"$3\times 2,\;(3,3)$",4.0,0.609405517578125,0.95
"$3\times 2,\;(3,3)$",4.25,0.603271484375,0.95
"$3\times 2,\;(3,3)$",4.5,0.61041259765625,0.95
"$3\times 2,\;(3,3)$",4.75,0.6007080078125,0.95
"$3\times 2,\;(3,3)$",5.0,0.59503173828125,0.95
"$3\times 2,\;(3,3)$",5.25,0.5982818603515625,0.95
"$3\times 2,\;(3,3)$",5.5,0.596588134765625,0.95
"$3\times 2,\;(3,3)$",5.75,0.6026763916015625,0.95
"$3\times 2,\;(3,3)$",6.0,0.626617431640625,0.95
"$3\times 2,\;(3,3)$",6.25,0.6363677978515625,0.95
"$3\times 2,\;(3,3)$",6.5,0.6335296630859375,0.95
"$3\times 2,\;(3,3)$",6.75,0.620941162109375,0.95
"$3\times 2,\;(3,3)$",7.0,0.6273040771484375,0.95
"$3\times 2,\;(3,3)$",7.25,0.621856689453125,0.95
"$3\times 2,\;(3,3)$",7.5,0.6141204833984375,0.95
"$3\times 2,\;(3,3)$",7.75,0.6107330322265625,0.95
"$3\times 2,\;(3,3)$",8.0,0.6043701171875,0.95
"$3\times 2,\;(3,3)$",8.25,0.6329803466796875,0.95
"$3\times 2,\;(3,3)$",8.5,0.6301193237304688,0.95
"$3\times 2,\;(3,3)$",8.75,0.64373779296875,0.95
"$3\times 2,\;(3,3)$",9.0,0.644287109375,0.95
"$3\times 2,\;(3,3)$",9.25,0.6338958740234375,0.95
"$3\times 2,\;(3,3)$",9.5,0.6327056884765625,0.95
"$3\times 2,\;(3,3)$",9.75,0.63128662109375,0.95
"$3\times 2,\;(3,3)$",10.0,0.62908935546875,0.95
"$3\times 2,\;(3,3)$",10.25,0.6268692016601562,0.95
"$3\times 2,\;(3,3)$",10.5,0.624603271484375,0.95
"$3\times 2,\;(3,3)$",10.75,0.6272811889648438,0.95
"$3\times 2,\;(3,3)$",11.0,0.6354522705078125,0.95
"$3\times 2,\;(3,3)$",11.25,0.62872314453125,0.95
"$3\times 2,\;(3,3)$",11.5,0.6316986083984375,0.95
"$3\times 2,\;(3,3)$",11.75,0.64227294921875,0.95
"$3\times 2,\;(3,3)$",12.0,0.6395263671875,0.95
"$3\times 2,\;(3,3)$",12.25,0.644744873046875,0.95
"$3\times 2,\;(3,3)$",12.5,0.6522979736328125,0.95
"$3\times 2,\;(3,3)$",12.75,0.6503067016601562,0.95
"$3\times 2,\;(3,3)$",13.0,0.654266357421875,0.95
"$3\times 2,\;(3,3)$",13.25,0.6560516357421875,0.95
"$3\times 2,\;(3,3)$",13.5,0.6541748046875,0.95
"$3\times 2,\;(3,3)$",13.75,0.6583404541015625,0.95
"$3\times 2,\;(3,3)$",14.0,0.6566696166992188,0.95
"$3\times 2,\;(3,3)$",14.25,0.6624832153320312,0.95
"$3\times 2,\;(3,3)$",14.5,0.6669921875,0.95
"$3\times 2,\;(3,3)$",14.75,0.665802001953125,0.95
"$3\times 2,\;(3,3)$",15.0,0.6522750854492188,0.95
"$3\times3,\;(3,2)$",0.5,NaN,0.95
"$3\times3,\;(3,2)$",0.75,1.7982177734375,0.95
"$3\times3,\;(3,2)$",1.0,1.476593017578125,0.95
"$3\times3,\;(3,2)$",1.25,1.3170166015625,0.95
"$3\times3,\;(3,2)$",1.5,1.212738037109375,0.95
"$3\times3,\;(3,2)$",1.75,1.1464080810546875,0.95
"$3\times3,\;(3,2)$",2.0,1.08447265625,0.95
"$3\times3,\;(3,2)$",2.25,1.0482635498046875,0.95
"$3\times3,\;(3,2)$",2.5,1.0126953125,0.95
"$3\times3,\;(3,2)$",2.75,0.9801025390625,0.95
"$3\times3,\;(3,2)$",3.0,0.9376220703125,0.95
"$3\times3,\;(3,2)$",3.25,0.912445068359375,0.95
"$3\times3,\;(3,2)$",3.5,0.8874053955078125,0.95
"$3\times3,\;(3,2)$",3.75,0.8484039306640625,0.95
"$3\times3,\;(3,2)$",4.0,0.8448333740234375,0.95
"$3\times3,\;(3,2)$",4.25,0.82391357421875,0.95
"$3\times3,\;(3,2)$",4.5,0.8080291748046875,0.95
"$3\times3,\;(3,2)$",4.75,0.7983245849609375,0.95
"$3\times3,\;(3,2)$",5.0,0.779876708984375,0.95
"$3\times3,\;(3,2)$",5.25,0.773468017578125,0.95
"$3\times3,\;(3,2)$",5.5,0.7698745727539062,0.95
"$3\times3,\;(3,2)$",5.75,0.7640838623046875,0.95
"$3\times3,\;(3,2)$",6.0,0.7600555419921875,0.95
"$3\times3,\;(3,2)$",6.25,0.753143310546875,0.95
"$3\times3,\;(3,2)$",6.5,0.7430267333984375,0.95
"$3\times3,\;(3,2)$",6.75,0.7357711791992188,0.95
"$3\times3,\;(3,2)$",7.0,0.7277374267578125,0.95
"$3\times3,\;(3,2)$",7.25,0.725494384765625,0.95
"$3\times3,\;(3,2)$",7.5,0.7249221801757812,0.95
"$3\times3,\;(3,2)$",7.75,0.7243499755859375,0.95
"$3\times3,\;(3,2)$",8.0,0.7286529541015625,0.95
"$3\times3,\;(3,2)$",8.25,0.724945068359375,0.95
"$3\times3,\;(3,2)$",8.5,0.720367431640625,0.95
"$3\times3,\;(3,2)$",8.75,0.7170257568359375,0.95
"$3\times3,\;(3,2)$",9.0,0.7139358520507812,0.95
"$3\times3,\;(3,2)$",9.25,0.7084426879882812,0.95
"$3\times3,\;(3,2)$",9.5,0.7021026611328125,0.95
"$3\times3,\;(3,2)$",9.75,0.696014404296875,0.95
"$3\times3,\;(3,2)$",10.0,0.695098876953125,0.95
"$3\times3,\;(3,2)$",10.25,0.6932220458984375,0.95
"$3\times3,\;(3,2)$",10.5,0.6917572021484375,0.95
"$3\times3,\;(3,2)$",10.75,0.6886672973632812,0.95
"$3\times3,\;(3,2)$",11.0,0.6834945678710938,0.95
"$3\times3,\;(3,2)$",11.25,0.6790771484375,0.95
"$3\times3,\;(3,2)$",11.5,0.6790084838867188,0.95
"$3\times3,\;(3,2)$",11.75,0.675689697265625,0.95
"$3\times3,\;(3,2)$",12.0,0.6806793212890625,0.95
"$3\times3,\;(3,2)$",12.25,0.6747970581054688,0.95
"$3\times3,\;(3,2)$",12.5,0.676055908203125,0.95
"$3\times3,\;(3,2)$",12.75,0.6751174926757812,0.95
"$3\times3,\;(3,2)$",13.0,0.672119140625,0.95
"$3\times3,\;(3,2)$",13.25,0.6714096069335938,0.95
"$3\times3,\;(3,2)$",13.5,0.6677932739257812,0.95
"$3\times3,\;(3,2)$",13.75,0.6725997924804688,0.95
"$3\times3,\;(3,2)$",14.0,0.67120361328125,0.95
"$3\times3,\;(3,2)$",14.25,0.6707000732421875,0.95
"$3\times3,\;(3,2)$",14.5,0.6687545776367188,0.95
"$3\times3,\;(3,2)$",14.75,0.6679763793945312,0.95
"$3\times3,\;(3,2)$",15.0,0.6664886474609375,0.95
